Tribunal,Estado(s),Sistema,Instância,DJe Citacao,DJe Intimacao
TJSC,Santa Catarina,ESAJ,1a,Simultâneo,Simultâneo
TJSC,Santa Catarina,ESAJ,2a,Simultâneo,Simultâneo
TJSC,Santa Catarina,e-Proc,1a,Simultâneo,Simultâneo
TJSC,Santa Catarina,e-Proc,2a,Simultâneo,Simultâneo
TJSP,São Paulo,ESAJ,1a,Simultâneo,Simultâneo
TJSP,São Paulo,ESAJ,2a,Simultâneo,Simultâneo
TJSE,Sergipe,Próprio,1a,Exclusivo,Simultâneo
TJSE,Sergipe,Próprio,2a,Exclusivo,Simultâneo
TJTO,Tocantins,e-Proc,1a,Simultâneo,Simultâneo
TJTO,Tocantins,e-Proc,2a,Simultâneo,Simultâneo
TJTO,Tocantins,Projudi,1a,Simultâneo,Simultâneo
