Tribunal,Estado(s),Sistema,Instância,Citações/Intimações,Anexos,Audiências,Dá ciência,Info
TJMT,Mato Grosso,Projudi,2a,Sim,"Sim, ciência necessária",Não disponibilizado pelo tribunal,Implementação provavelmente rápida,
TJMS,Mato Grosso do Sul,ESAJ,1a,Sim,"Sim, ciência não necessária",Não disponibilizado pelo tribunal,Sim,
TJMS,Mato Grosso do Sul,ESAJ,2a,Sim,"Sim, ciência não necessária",Não disponibilizado pelo tribunal,Sim,
TJMG,Minas Gerais,PJe,1a,Sim,"Sim, ciência necessária",Sim,Sim,
TJMG,Minas Gerais,PJe,2a,Sim,"Sim, ciência necessária",Sim,Sim,
TJMG,Minas Gerais,Projudi,1a,Sim,"Sim, ciência necessária",Não disponibilizado pelo tribunal,Implementação provavelmente rápida,
TJMG,Minas Gerais,Projudi,2a,Sim,"Sim, ciência necessária",Não disponibilizado pelo tribunal,Implementação provavelmente rápida,
TJMG,Minas Gerais,Próprio,1a,Não disponibilizado pelo tribunal,Não disponibilizado pelo tribunal,Não disponibilizado pelo tribunal,Não disponibilizado pelo tribunal,
TJMG,Minas Gerais,Próprio - JPe Themis,2a,Implementação provavelmente rápida,Não,Não,Não,
TJPA,Pará,PJe,1a,Sim,"Sim, ciência necessária",Sim,Sim,
TJPA,Pará,PJe,2a,Sim,"Sim, ciência necessária",Sim,Sim,
TJPA,Pará,Projudi,1a,Não disponibilizado pelo tribunal,Não disponibilizado pelo tribunal,Não disponibilizado pelo tribunal,Não,
TJPA,Pará,Projudi,2a,Não disponibilizado pelo tribunal,Não disponibilizado pelo tribunal,Não disponibilizado pelo tribunal,Não,
TJPA,Pará,Libra,1a,Implementação provavelmente rápida,Não,Não,Não,https://libra.tjpa.jus.br/libra/autenticacao/inicio.action
TJPA,Pará,Libra,2a,Implementação provavelmente rápida,Não,Não,Não,https://libra.tjpa.jus.br/libra/autenticacao/inicio.action
TJPB,Paraíba,PJe,1a,Sim,"Sim, ciência necessária",Sim,Sim,https://pje.tjpb.jus.br/pje/
TJPB,Paraíba,PJe,2a,Sim,"Sim, ciência necessária",Sim,Sim,https://pjesg.tjpb.jus.br/pje2g/
TJPB,Paraíba,Projudi,1a,Não disponibilizado pelo tribunal,Não disponibilizado pelo tribunal,Não disponibilizado pelo tribunal,Não disponibilizado pelo tribunal,
TJPB,Paraíba,Projudi,2a,Não disponibilizado pelo tribunal,Não disponibilizado pelo tribunal,Não disponibilizado pelo tribunal,Não disponibilizado pelo tribunal,
TJPR,Paraná,Projudi,1a,Sim,"Sim, ciência necessária",Sim,Sim,
TJPR,Paraná,Projudi,2a,Sim,"Sim, ciência necessária",Sim,Sim,
TJPE,Pernambuco,PJe,1a,Sim,"Sim, ciência necessária",Sim,Sim,
TJPE,Pernambuco,PJe,2a,Sim,"Sim, ciência necessária",Sim,Sim,
TJPE,Pernambuco,Projudi,1a,Não disponibilizado pelo tribunal,Não disponibilizado pelo tribunal,Não disponibilizado pelo tribunal,Não disponibilizado pelo tribunal,
TJPE,Pernambuco,Projudi,2a,Não disponibilizado pelo tribunal,Não disponibilizado pelo tribunal,Não disponibilizado pelo tribunal,Não disponibilizado pelo tribunal,
TJPI,Piauí,PJe,1a,Sim,"Sim, ciência necessária",Sim,Sim,
TJPI,Piauí,PJe,2a,Sim,"Sim, ciência necessária",Sim,Sim,
TJPI,Piauí,Projudi,1a,Sim,"Sim, ciência necessária",Não disponibilizado pelo tribunal,Não,
TJPI,Piauí,Projudi,2a,Sim,"Sim, ciência necessária",Não disponibilizado pelo tribunal,Não,
TJRJ,Rio de Janeiro,Próprio,1a,Sim,"Sim, ciência necessária",Não,Sim,
TJRJ,Rio de Janeiro,Próprio,2a,Sim,"Sim, ciência necessária",Não,Sim,
TJRJ,Rio de Janeiro,Projudi,1a,Não disponibilizado pelo tribunal,Não disponibilizado pelo tribunal,Não disponibilizado pelo tribunal,Não disponibilizado pelo tribunal,
TJRJ,Rio de Janeiro,Projudi,2a,Não disponibilizado pelo tribunal,Não disponibilizado pelo tribunal,Não disponibilizado pelo tribunal,Não disponibilizado pelo tribunal,
TJRJ,Rio de Janeiro,PJe,1a,Sim,"Sim, ciência necessária",Sim,Sim,
TJRJ,Rio de Janeiro,PJe,2a,Sim,"Sim, ciência necessária",Sim,Sim,
TJRN,Rio Grande do Norte,ESAJ,1a,Não disponibilizado pelo tribunal,Não disponibilizado pelo tribunal,Não disponibilizado pelo tribunal,Não disponibilizado pelo tribunal,
TJRN,Rio Grande do Norte,PJe,1a,Sim,"Sim, ciência necessária",Sim,Sim,
TJRN,Rio Grande do Norte,PJe,2a,Sim,"Sim, ciência necessária",Sim,Sim,
TJRN,Rio Grande do Norte,Projudi,1a,Não disponibilizado pelo tribunal,Não disponibilizado pelo tribunal,Não disponibilizado pelo tribunal,Não disponibilizado pelo tribunal,
TJRN,Rio Grande do Norte,Projudi,2a,Não disponibilizado pelo tribunal,Não disponibilizado pelo tribunal,Não disponibilizado pelo tribunal,Não disponibilizado pelo tribunal,
TJRS,Rio Grande do Sul,PJe,1a,Não disponibilizado pelo tribunal,Não disponibilizado pelo tribunal,Não disponibilizado pelo tribunal,Não disponibilizado pelo tribunal,
TJRS,Rio Grande do Sul,Próprio,1a,Sim,"Sim, ciência não necessária",Não,Não,
TJRS,Rio Grande do Sul,Próprio,2a,Sim,"Sim, ciência não necessária",Não,Não,
TJRS,Rio Grande do Sul,e-Proc,1a,Sim,"Sim, ciência não necessária",Implementação provavelmente rápida,Sim,
TJRS,Rio Grande do Sul,e-Proc,2a,Sim,"Sim, ciência não necessária",Implementação provavelmente rápida,Sim,
TJRO,Rondônia,PJe,1a,Sim,"Sim, ciência necessária",Sim,Sim,
TJRO,Rondônia,PJe,2a,Sim,"Sim, ciência necessária",Sim,Sim,
TJRO,Rondônia,Projudi,1a,Não disponibilizado pelo tribunal,Não disponibilizado pelo tribunal,Não disponibilizado pelo tribunal,Não disponibilizado pelo tribunal,
TJRR,Roraima,PJe,1a,Não disponibilizado pelo tribunal,Não disponibilizado pelo tribunal,Não disponibilizado pelo tribunal,Não disponibilizado pelo tribunal,
TJRR,Roraima,PJe,2a,Não disponibilizado pelo tribunal,Não disponibilizado pelo tribunal,Não disponibilizado pelo tribunal,Não disponibilizado pelo tribunal,
TJRR,Roraima,Projudi,1a,Sim,"Sim, ciência necessária",Sim,Sim,
TJRR,Roraima,Projudi,2a,Sim,"Sim, ciência necessária",Sim,Sim,
